trip_id,arrival_time,departure_time,stop_sequence,stop_id
015A_1,13:33:21,13:33:21,14,S5341
015A_1,13:35:08,13:35:08,15,S5342
015A_1,13:37:25,13:37:25,16,T5343
015B_1,13:38:19,13:38:19,1,T5344
015B_1,13:43:47,13:43:47,2,S5346
015B_1,13:49:12,13:49:12,3,S5347
015B_1,13:54:40,13:54:40,4,S5078
015B_1,13:57:00,13:57:00,5,S5349
015B_1,14:02:50,14:02:50,6,S3288
015B_1,14:08:42,14:08:42,7,S5246
015B_1,14:10:33,14:10:33,8,S5246
015B_1,14:13:34,14:13:34,9,S5249
015B_1,14:20:28,14:20:28,10,S5355
015B_1,14:22:45,14:22:45,11,S5356
015B_1,14:26:01,14:26:01,12,S5357
015B_1,14:30:10,14:30:10,13,T0
016A_1,12:26:29,12:26:29,1,T0
016A_1,12:43:59,12:43:59,2,S5361
016A_1,12:47:19,12:47:19,3,S5362
016A_1,12:50:36,12:50:36,4,S415
016A_1,12:52:48,12:52:48,5,S417
016A_1,12:55:32,12:55:32,6,S5368
016A_1,12:58:09,12:58:09,7,S345
016A_1,13:00:13,13:00:13,8,T5371
016B_1,13:07:32,13:07:32,1,T5371
016B_1,13:10:00,13:10:00,2,S352
016B_1,13:11:39,13:11:39,3,S5375
016B_1,13:14:29,13:14:29,4,S14
016B_1,13:26:15,13:26:15,5,S5378
016B_1,13:28:54,13:28:54,6,S380
016B_1,13:33:54,13:33:54,7,S384
016B_1,13:44:24,13:44:24,8,S5382
016B_1,13:50:15,13:50:15,9,S5384
016B_1,13:56:13,13:56:13,10,T0
017A_1,14:57:54,14:57:54,1,T0
017A_1,15:06:43,15:06:43,2,S5389
017A_1,15:09:01,15:09:01,3,S3751
017A_1,15:17:17,15:17:17,4,S5392
017A_1,15:25:55,15:25:55,5,S4189
017A_1,15:27:14,15:27:14,6,S3565
017A_1,15:28:06,15:28:06,7,S4190
017A_1,15:29:47,15:29:47,8,S5398
017A_1,15:33:26,15:33:26,9,S5400
017A_1,15:45:25,15:45:25,10,S5401
017A_1,15:47:10,15:47:10,11,S99
017A_1,15:48:37,15:48:37,12,S5403
017A_1,15:49:27,15:49:27,13,S5404
017A_1,15:50:28,15:50:28,14,S102
017A_1,15:53:11,15:53:11,15,S5407
017B_1,16:04:26,16:04:26,1,T103
017B_1,16:37:54,16:37:54,2,S879
017B_1,16:39:32,16:39:32,3,S880
017B_1,16:45:22,16:45:22,4,S3040
018A_1,14:01:51,14:01:51,1,T0
018A_1,14:23:45,14:23:45,2,S2823
018A_1,14:26:53,14:26:53,3,S5416
018A_1,14:30:21,14:30:21,4,S5417
018A_1,14:34:24,14:34:24,5,S904
018A_1,14:35:48,14:35:48,6,S5419
018A_1,14:36:15,14:36:15,7,S5420
018A_1,14:39:03,14:39:03,8,S5007
018A_1,14:41:34,14:41:34,9,S99
018A_1,14:42:59,14:42:59,10,S5423
018A_1,14:44:36,14:44:36,11,S5424
018A_1,14:47:17,14:47:17,12,T103
018B_1,14:54:54,14:54:54,1,T103
018B_1,15:26:48,15:26:48,2,S4179
018B_1,15:30:54,15:30:54,3,S3760
018B_1,15:36:22,15:36:22,4,S880
018B_1,15:39:26,15:39:26,5,S881
018B_1,15:43:06,15:43:06,6,T0
019A_1,9:28:53,9:28:53,1,T0
019A_1,9:55:32,9:55:32,2,S5435
019A_1,9:56:18,9:56:18,3,S5435
019A_1,10:01:02,10:01:02,4,S414
019A_1,10:03:17,10:03:17,5,S415
019A_1,10:06:46,10:06:46,6,S630
019A_1,10:09:07,10:09:07,7,S5441
019A_1,10:11:29,10:11:29,8,S346
019A_1,10:17:27,10:17:27,9,S635
019A_1,10:30:12,10:30:12,10,T638
019B_1,10:39:10,10:39:10,1,T638
019B_1,10:58:39,10:58:39,2,S5448
019B_1,11:00:52,11:00:52,3,S5449
019B_1,11:04:59,11:04:59,4,S5450
019B_1,11:07:09,11:07:09,5,S352
019B_1,11:16:43,11:16:43,6,S15
