route_id,service_id,trip_id,shape_id
275B,service,275B_1,242001
276A,service,276A_1,243001
276B,service,276B_1,244001
277A,service,277A_1,245001
277B,service,277B_1,246001
278A,service,278A_1,247001
278B,service,278B_1,248001
281B,service,281B_1,249001
282A,service,282A_1,250001
282B,service,282B_1,251001
283A,service,283A_1,252001
283B,service,283B_1,253001
284A,service,284A_1,254001
286A,service,286A_1,255001
286B,service,286B_1,256001
287A,service,287A_1,257001
287B,service,287B_1,258001
288A,service,288A_1,259001
288B,service,288B_1,260001
028A,service,028A_1,261001
028B,service,028B_1,262001
290A,service,290A_1,263001
290B,service,290B_1,264001
291A,service,291A_1,265001
291B,service,291B_1,266001
293A,service,293A_1,267001
293B,service,293B_1,268001
295A,service,295A_1,269001
295B,service,295B_1,270001
296A,service,296A_1,271001
296B,service,296B_1,272001
298A,service,298A_1,273001
298B,service,298B_1,274001
299A,service,299A_1,275001
299B,service,299B_1,276001
002A,service,002A_1,277001
002B,service,002B_1,278001
300A,service,300A_1,279001
300B,service,300B_1,280001
301A,service,301A_1,281001
302A,service,302A_1,282001
302B,service,302B_1,283001
303A,service,303A_1,284001
303B,service,303B_1,285001
306A,service,306A_1,286001
307A,service,307A_1,287001
307B,service,307B_1,288001
308A,service,308A_1,289001
308B,service,308B_1,290001
309A,service,309A_1,291001
309B,service,309B_1,292001
310A,service,310A_1,293001
310B,service,310B_1,294001
311A,service,311A_1,295001
311B,service,311B_1,296001
313A,service,313A_1,297001
313B,service,313B_1,298001
317A,service,317A_1,299001
317B,service,317B_1,300001
322A,service,322A_1,301001
322B,service,322B_1,302001
324A,service,324A_1,303001
324B,service,324B_1,304001
325A,service,325A_1,305001
325B,service,325B_1,306001
326B,service,326B_1,307001
328A,service,328A_1,308001
328B,service,328B_1,309001
331A,service,331A_1,310001
331B,service,331B_1,311001
333B,service,333B_1,312001
336A,service,336A_1,313001
336B,service,336B_1,314001
337A,service,337A_1,315001
337B,service,337B_1,316001
338A,service,338A_1,317001
339B,service,339B_1,318001
342A,service,342A_1,319001
342B,service,342B_1,320001
343A,service,343A_1,321001
343B,service,343B_1,322001
344A,service,344A_1,323001
344B,service,344B_1,324001
345A,service,345A_1,325001
347B,service,347B_1,326001
348A,service,348A_1,327001
349A,service,349A_1,328001
349B,service,349B_1,329001
351A,service,351A_1,330001
351B,service,351B_1,331001
353A,service,353A_1,332001
353B,service,353B_1,333001
356A,service,356A_1,334001
356B,service,356B_1,335001
357A,service,357A_1,336001
357B,service,357B_1,337001
363A,service,363A_1,338001
363B,service,363B_1,339001
367A,service,367A_1,340001
367B,service,367B_1,341001
368A,service,368A_1,342001
368B,service,368B_1,343001
369A,service,369A_1,344001
369B,service,369B_1,345001
373A,service,373A_1,346001
373B,service,373B_1,347001
376A,service,376A_1,348001
376B,service,376B_1,349001
377A,service,377A_1,350001
377B,service,377B_1,351001
378A,service,378A_1,352001
378B,service,378B_1,353001
380A,service,380A_1,354001
381A,service,381A_1,355001
381B,service,381B_1,356001
383A,service,383A_1,357001
384A,service,384A_1,358001
385A,service,385A_1,359001
385B,service,385B_1,360001
386A,service,386A_1,361001
386B,service,386B_1,362001
387A,service,387A_1,363001
387B,service,387B_1,364001
388A,service,388A_1,365001
388B,service,388B_1,366001
389A,service,389A_1,367001
389B,service,389B_1,368001
038A,service,038A_1,369001
038B,service,038B_1,370001
391A,service,391A_1,371001
391B,service,391B_1,372001
393A,service,393A_1,373001
395A,service,395A_1,374001
395B,service,395B_1,375001
397B,service,397B_1,376001
398A,service,398A_1,377001
399A,service,399A_1,378001
399B,service,399B_1,379001
003A,service,003A_1,380001
003B,service,003B_1,381001
400B,service,400B_1,382001
401A,service,401A_1,383001
402B,service,402B_1,384001
403A,service,403A_1,385001
403B,service,403B_1,386001
404A,service,404A_1,387001
404B,service,404B_1,388001
405A,service,405A_1,389001
405B,service,405B_1,390001
406A,service,406A_1,391001
406B,service,406B_1,392001
408A,service,408A_1,393001
409A,service,409A_1,394001
409B,service,409B_1,395001
410A,service,410A_1,396001
412A,service,412A_1,397001
414A,service,414A_1,398001
414B,service,414B_1,399001
415A,service,415A_1,400001
415B,service,415B_1,401001
416B,service,416B_1,402001
417A,service,417A_1,403001
417B,service,417B_1,404001
419A,service,419A_1,405001
419B,service,419B_1,406001
041A,service,041A_1,407001
041B,service,041B_1,408001
420A,service,420A_1,409001
420B,service,420B_1,410001
422A,service,422A_1,411001
422B,service,422B_1,412001
423A,service,423A_1,413001
423B,service,423B_1,414001
424A,service,424A_1,415001
424B,service,424B_1,416001
425A,service,425A_1,417001
428B,service,428B_1,418001
431A,service,431A_1,419001
431B,service,431B_1,420001
434A,service,434A_1,421001
434B,service,434B_1,422001
435A,service,435A_1,423001
435B,service,435B_1,424001
436A,service,436A_1,425001
436B,service,436B_1,426001
437A,service,437A_1,427001
437B,service,437B_1,428001
438B,service,438B_1,429001
441A,service,441A_1,430001
441B,service,441B_1,431001
442A,service,442A_1,432001
442B,service,442B_1,433001
443B,service,443B_1,434001
444A,service,444A_1,435001
444B,service,444B_1,436001
445A,service,445A_1,437001
445B,service,445B_1,438001
446A,service,446A_1,439001
446B,service,446B_1,440001
447B,service,447B_1,441001
449A,service,449A_1,442001
449B,service,449B_1,443001
044B,service,044B_1,444001
452A,service,452A_1,445001
452B,service,452B_1,446001
454A,service,454A_1,447001
455A,service,455A_1,448001
455B,service,455B_1,449001
456A,service,456A_1,450001
456B,service,456B_1,451001
458A,service,458A_1,452001
