agency_id,agency_name,agency_url,agency_timezone
50,Kaneshie Honesty GPRTU Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
51,Kaneshie No. 2 Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
55,Katamanto Zongo Trotro Drivers Union,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
56,Kokomlemle - Pig Farm - Dzorwulu - Abelemkpe Local of Pig Farm Branch.,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
57,Kotobabi Down Branch of G.P.R.T.U Of TUC,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
58,Kwashieman Brothers Branch Of PROTOA,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
59,Kwashieman Junction Co-operative Taxi (044),https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
23,Achimota No. 5 GPRTU Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
26,Alajo Co-operative Transport Society,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
28,Asomdwe Taxi Local of Achimota Lapaz  Taxi & Hiring GPRTU Branch,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
44,East Legon-La Bawaleshie-M-A-S-A  GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
48,Kaneshie Circle Teshie Nungua Local of Odawna Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
52,Kaneshie Research Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
54,Kantamanto-Zongo Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
60,Kwashieman Junction Trotro Co-operative Transport Society,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
61,Kwashieman Taxi Local of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
62,Kyere Wo Do Branch of PROTOA,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
63,La YMCA Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
64,Lapaz Asofan Amasaman Branch of G.P.R.T.U.,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
66,Lapaz No. Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
67,Lapaz No.2 Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
68,Legon Co-operative Transport Society Limited,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
69,Lido Overhead Mallam Atta Local of Kotobabi Down Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
70,Maamobi Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
71,New Tema Station-Agbogbloshie Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
74,Nima Maamobi Branch of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
76,Nima Mamobi Circle Overhead Branch of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
77,Nkrumah Circle Peugeot Branch Of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
79,North Darkuman Nyamekye Branch Of G.P.R.T.U,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
80,North Kaneshie Co-operative Transport Society (Shared Taxi),https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
81,Odor Taxi Hiring Of GPRTU,https://en.wikipedia.org/wiki/Ghana_Private_Road_Transport_Union,Africa/Accra
